Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH11663,http://cs.wikipedia.org/wiki/Dadaismus,1,,
http://psh.ntkcz.cz/skos/PSH9455,http://cs.wikipedia.org/wiki/Postoje,1,,
http://psh.ntkcz.cz/skos/PSH9429,http://cs.wikipedia.org/wiki/Stimulace,1,,
http://psh.ntkcz.cz/skos/PSH7113,http://cs.wikipedia.org/wiki/Teorie modelů,1,,
http://psh.ntkcz.cz/skos/PSH9942,http://cs.wikipedia.org/wiki/Fotbal,1,,
http://psh.ntkcz.cz/skos/PSH3445,http://cs.wikipedia.org/wiki/Odraz světla,1,,nepřesné ale budiž
http://psh.ntkcz.cz/skos/PSH7053,http://cs.wikipedia.org/wiki/Japonská literatura,1,,
http://psh.ntkcz.cz/skos/PSH3319,http://cs.wikipedia.org/wiki/Supravodič,1,,
http://psh.ntkcz.cz/skos/PSH8824,http://cs.wikipedia.org/wiki/Derogace,1,,
http://psh.ntkcz.cz/skos/PSH3064,http://cs.wikipedia.org/wiki/Střih,"0,5",http://cs.wikipedia.org/wiki/St%C5%99ih%C3%A1n%C3%AD_%28materi%C3%A1l%29,
http://psh.ntkcz.cz/skos/PSH12514,http://cs.wikipedia.org/wiki/Správa paměti,1,,
http://psh.ntkcz.cz/skos/PSH12568,http://cs.wikipedia.org/wiki/Vizualizace,1,,
http://psh.ntkcz.cz/skos/PSH12492,http://cs.wikipedia.org/wiki/HTML,1,,
http://psh.ntkcz.cz/skos/PSH7421,http://cs.wikipedia.org/wiki/Konvergence řady,1,,
http://psh.ntkcz.cz/skos/PSH8474,http://cs.wikipedia.org/wiki/Theokracie,1,,
http://psh.ntkcz.cz/skos/PSH2826,http://cs.wikipedia.org/wiki/Antická filozofie,1,,
http://psh.ntkcz.cz/skos/PSH207,http://cs.wikipedia.org/wiki/Hlavice,0,http://cs.wikipedia.org/wiki/Hlavice_%28architektura%29,
http://psh.ntkcz.cz/skos/PSH12505,http://cs.wikipedia.org/wiki/MacOS,1,,
http://psh.ntkcz.cz/skos/PSH8693,http://cs.wikipedia.org/wiki/Víno,1,,
